	Acartia-tonsa_adults_SR	Amphibalanus-amphitrite_larva_ou	Calanoides-carinatus_active-pop_BL	Calanus-hyperboreus_female_AF	Eucalanus-hyalinus_high-oxygen_CA	Eucyclops-serrulatus__SR	Eurytemora-affinis_adults_fr	Labidocera-madurae_femalesPooled_SR	Lernaea-cyprinacea_hote_SR	Lsalmonis_female_SR	Metridia-longa_female_AU	Nannocalanus-minor__BY	Neocalanus-flemingeri_pooledFemales_SR	Onana_female_in	Osimilis_female_in	Paracyclopina-nana_SRR1664735_Tr	Penaeus-aztecus_10Hepatopancreas_ou	Pleuromamma-robusta__BU	Pseudocalanus-sp_female_BE	Pseudodiaptomus-annandalei_1ind_SR	Tigriopus-japonicus_SRR1784985_Tr	Tigripus-kingsejongensis_SRR2034718_Tr	Tracheliastes-polycolpus_female_le
PF16641.6	2	18	34	74	20	134	40	40	8	6	20	12	8	8	8	14	32	22	0	38	30	32	3
PF04800.13	3	17	5	5	4	54	1	5	13	4	1	1	4	1	6	4	1	2	2	9	3	4	1
PF08565.12	8	24	3	1	4	14	3	2	16	3	3	2	2	4	4	3	6	3	4	20	1	1	2
PF08564.11	12	33	2	24	3	35	2	3	60	3	8	5	12	20	20	4	49	3	96	51	4	16	4
PF03234.15	17	79	4	0	12	29	20	15	11	8	3	8	2	36	52	8	2	8	2	139	20	3	8
PF03670.14	132	16	0	6	6	48	22	0	11	11	19	0	0	15	17	15	9	9	10	20	34	25	0
PF16531.6	22	150	26	1	18	33	6	16	16	1	0	26	1	10	15	18	0	41	0	56	39	15	72
PF15924.6	3	11	1	1	1	14	2	1	9	1	2	1	1	1	1	1	2	1	1	4	3	1	1
PF06461.12	1	45	3	4	1	20	20	7	27	2	2	1	1	3	5	2	12	2	2	3	8	2	2
PF06465.14	2	9	4	6	2	13	27	6	14	2	2	2	2	3	5	2	26	2	2	11	2	2	1
PF14640.7	1	0	2	2	2	8	1	3	2	1	2	2	1	12	1	2	1	3	1	10	3	5	3
PF01755.18	14	6	9	4	1	4	12	1	1	1	1	0	2	1	1	2	1	1	2	8	4	1	11
PF13704.7	14	6	9	14	9	2	0	8	1	5	4	0	0	3	17	4	5	0	6	30	16	6	0
PF01210.24	6	15	31	26	5	72	3	24	11	6	42	6	18	63	48	10	12	13	9	6	22	6	9
PF07479.15	4	43	5	18	1	43	1	44	17	8	10	3	17	8	8	3	22	14	6	4	50	10	19
PF06058.14	18	0	1	1	2	9	2	3	4	1	1	1	1	1	1	1	2	3	4	30	1	1	1
PF16741.6	28	4	4	1	8	36	1	14	9	2	11	1	96	2	3	2	6	11	8	1	2	2	1
PF04194.14	10	15	27	37	14	21	15	13	8	72	10	8	18	8	8	6	13	9	8	34	6	12	6
PF12619.9	1	12	9	0	5	12	3	2	81	14	75	3	3	5	6	4	14	19	3	4	3	4	6
PF01280.21	2	56	31	16	14	53	4	41	110	4	4	90	8	16	30	4	11	38	4	30	14	6	8
PF10167.10	2	4	3	4	4	2	8	34	9	2	8	2	4	16	34	13	1	10	0	4	8	2	1
PF08122.13	1	6	0	1	0	7	1	2	0	1	1	0	2	2	4	1	1	1	1	0	1	0	1
PF17809.2	1	8	11	26	5	12	30	17	32	14	64	2	5	23	18	34	4	4	13	22	12	16	11
PF18116.2	3	13	1	6	1	17	12	18	3	1	7	0	3	2	2	2	6	2	0	12	3	4	3
PF03154.16	3	48	20	16	7	12	4	16	14	4	12	4	16	25	24	6	21	3	10	7	4	0	8
PF12213.9	1	10	4	0	8	24	7	7	2	3	2	6	2	2	2	2	0	4	6	18	10	8	5
PF00829.22	2	14	2	1	1	38	3	0	9	4	4	1	2	2	2	1	4	4	3	4	2	2	2
PF06480.16	28	2	38	4	2	159	48	30	6	44	12	12	9	20	20	46	37	68	10	40	294	15	30
PF00068.20	5	13	28	57	6	15	17	15	6	0	6	13	2	22	13	13	2	8	22	38	19	11	0
PF07106.14	2	17	2	2	1	82	4	15	1	2	3	1	1	1	1	10	0	3	2	1	14	1	6
PF06888.13	7	17	8	5	8	15	3	3	5	2	3	5	1	25	15	8	3	10	2	14	4	8	6
PF06432.12	2	6	6	8	27	26	16	14	10	6	5	4	7	9	22	27	3	11	4	6	4	8	4
PF14611.7	11	240	44	131	8	166	22	10	73	51	190	171	38	46	19	11	27	106	100	444	21	18	105
PF18266.2	16	12	21	12	8	15	2	12	2	1	3	10	3	2	2	4	12	4	1	1	1	1	6
PF05450.16	10	12	5	11	15	108	7	3	6	133	21	25	11	2	2	2	1	9	3	7	2	4	2
PF03721.15	11	7	14	17	7	7	17	29	70	1	4	9	13	26	30	2	8	6	2	2	12	18	2
PF03720.16	33	10	9	20	2	44	12	37	11	2	8	6	26	2	2	4	4	6	5	11	9	18	4
PF00984.20	84	14	31	21	27	39	13	11	18	3	12	7	101	7	7	8	4	16	2	16	20	45	8
PF02701.16	4	0	0	0	0	0	11	87	0	0	0	3	0	0	0	0	0	10	599	90	0	0	0
PF01028.21	4	55	56	8	7	30	4	9	19	9	184	25	2	12	6	7	4	14	4	5	3	26	12
PF14370.7	24	80	35	4	4	241	1	30	67	6	176	12	0	13	9	14	11	12	4	20	2	6	9
PF02919.16	48	12	20	8	9	80	5	13	73	29	45	11	10	21	20	22	9	41	9	22	5	8	12
PF08323.12	36	0	7	0	0	83	25	0	4	0	87	0	0	0	0	0	0	1	0	0	0	0	10
PF00707.23	50	0	0	0	0	0	2	0	0	0	7	0	0	0	0	0	5	0	0	10	0	0	0
PF04799.14	6	7	37	18	6	154	28	58	48	2	5	2	7	10	13	10	55	4	21	19	11	20	48
PF16474.6	39	4	93	39	29	31	49	29	5	19	29	36	63	20	22	108	16	15	1	96	37	12	6
PF03749.14	24	0	23	6	0	0	0	11	0	0	0	6	0	0	0	0	0	0	8	0	0	0	0
PF12125.9	6	1	4	3	3	4	5	6	6	2	10	2	3	4	3	4	6	5	4	4	1	3	1
PF06105.13	4	3	1	1	2	7	13	12	11	1	2	1	1	1	5	10	1	17	2	6	6	3	2
PF10176.10	3	0	12	0	4	15	8	12	85	0	0	4	0	0	0	0	10	0	6	25	18	4	0
PF02806.19	2	46	8	4	1	29	1	3	17	5	8	2	2	4	3	1	32	10	4	1	2	1	2
PF00128.25	6	86	69	30	7	276	76	27	82	22	44	21	68	38	23	133	33	87	77	47	100	48	21
PF02922.19	6	4	65	117	50	24	5	0	55	3	50	3	3	1	1	1	2	57	7	3	4	1	10
PF00362.19	4	26	27	23	23	16	12	6	66	21	16	16	11	7	9	20	36	33	19	42	54	5	4
PF08725.12	3	16	7	9	12	4	5	4	41	14	9	4	4	4	6	61	7	5	2	13	28	11	21
PF07965.13	17	37	57	13	48	34	23	5	145	33	106	9	9	8	16	7	50	29	4	18	10	4	5
PF18372.2	60	84	115	51	51	127	47	79	258	38	62	51	45	55	77	44	85	89	6	100	172	34	32
PF17205.4	10	137	32	85	35	13	3	12	168	25	13	15	6	9	17	16	0	11	44	8	27	3	24
PF05764.14	2	29	1	0	23	33	2	42	1	2	3	4	4	1	1	2	4	3	1	16	4	1	2
PF12012.9	7	18	18	7	11	28	19	24	7	12	8	6	1	29	10	7	3	8	5	4	6	2	4
PF00977.22	144	26	14	3	26	0	54	45	0	0	86	30	21	41	44	4	0	104	86	247	20	0	0
PF04506.14	2	8	2	4	5	35	2	3	2	2	1	2	1	1	1	9	3	1	4	8	9	3	2
PF13908.7	10	61	126	247	226	101	88	130	33	4	94	29	45	61	43	43	12	65	27	155	145	24	12
PF02582.15	2	10	18	3	2	4	9	4	6	1	5	11	3	24	1	2	54	15	15	4	1	1	1
PF05375.14	4	376	46	301	164	0	27	69	18	26	187	71	29	8	8	37	24	163	84	18	32	8	61
PF00093.19	4	1063	139	229	116	25	785	223	232	98	72	33	31	66	85	96	121	51	185	432	95	52	209
PF12714.8	8	303	3	18	14	0	670	8	95	42	10	0	8	9	9	64	27	44	3	12	80	0	0
PF18290.2	1	0	4	2	4	2	1	2	0	2	1	1	0	0	0	0	1	2	4	2	3	2	0
PF02732.16	31	21	23	18	21	30	45	26	12	3	37	49	15	25	22	8	6	65	20	44	2	5	10
PF00709.22	4	3	11	12	7	32	1	5	15	2	8	3	9	14	8	4	2	6	24	3	4	2	14
PF04442.15	6	4	5	11	2	8	4	2	7	1	3	4	2	1	1	4	2	4	1	5	1	1	0
PF03849.15	2	14	2	4	1	13	8	1	3	10	1	1	1	1	1	5	2	1	0	1	2	2	1
PF18307.2	6	12	11	10	2	18	3	3	4	6	3	2	2	3	2	10	6	3	8	2	14	9	2
PF04938.13	10	22	4	4	1	19	5	4	18	3	10	2	2	6	6	12	4	10	9	6	3	2	1
PF00686.20	23	16	12	8	13	15	11	1	117	10	12	23	1	6	8	39	4	6	5	6	20	3	5
PF02347.17	3	27	4	3	5	30	4	3	21	9	6	3	3	10	10	6	13	3	3	22	4	2	4
PF10744.10	2	6	9	18	2	9	4	1	5	12	8	12	20	17	57	44	7	2	0	2	14	1	8
PF11069.9	136	280	62	7	145	11	0	0	91	8	22	0	125	2	30	2	1	92	12	157	202	16	7
PF01020.18	1	6	24	0	1	4	2	3	7	1	1	6	8	2	1	1	3	2	3	7	2	1	1
PF04987.15	2	8	4	4	3	3	12	23	4	4	3	10	1	1	1	2	2	5	0	2	1	1	8
PF10244.10	1	9	1	1	1	12	2	5	3	3	1	1	2	1	3	5	2	2	2	6	4	14	12
PF12157.9	36	4	2	4	6	9	4	2	3	2	6	2	2	12	6	2	16	2	9	6	6	3	3
PF09247.12	16	3	0	0	4	8	12	2	1	1	12	2	2	14	2	1	13	1	0	9	2	0	4
PF16491.6	2	15	6	2	4	10	2	22	13	3	6	3	2	3	3	4	8	2	3	6	6	9	2
PF08583.11	4	27	14	5	13	4	28	12	7	2	14	8	3	1	1	4	13	4	14	19	3	2	4
PF12901.8	4	42	19	10	85	14	36	23	28	5	90	9	7	17	10	15	21	5	21	10	15	6	15
PF07842.13	13	19	8	9	4	24	11	21	17	30	5	11	4	21	11	54	25	2	7	11	7	5	18
PF04004.14	6	0	14	1	20	73	18	3	19	2	11	4	4	10	2	4	80	58	2	4	2	4	44
PF06777.12	4	20	2	22	2	15	10	6	2	4	2	2	4	6	6	2	4	20	2	4	5	3	6
PF01592.17	3	32	3	33	1	51	2	2	7	2	8	3	1	6	3	3	4	9	2	2	2	2	0
PF02735.17	7	2	7	3	2	17	14	2	8	17	2	5	3	6	4	8	11	2	3	11	3	2	0
PF03731.16	5	24	21	1	2	26	9	3	8	13	2	2	2	10	6	8	9	2	2	7	17	4	0
PF03730.15	15	1	6	2	8	16	7	6	7	74	7	6	1	20	12	74	50	4	25	13	6	6	0
PF04136.16	20	27	6	4	6	34	32	45	1	14	10	2	2	21	21	52	11	39	8	30	36	18	12
PF04145.16	22	85	71	30	38	62	28	0	55	16	39	34	24	26	7	39	65	20	31	26	45	38	5
PF09637.11	4	5	7	2	4	14	2	11	2	2	22	2	4	4	4	4	68	2	5	16	4	10	4
PF02262.17	2	14	2	5	1	6	3	5	2	8	9	2	2	2	2	3	6	4	3	2	5	2	4
PF02762.15	3	8	2	4	1	5	5	5	3	5	9	3	2	2	2	5	3	2	45	4	5	2	4
PF02761.15	3	11	2	14	1	26	3	5	4	5	9	3	2	3	3	5	12	2	6	2	5	2	4
PF16717.6	40	20	6	23	4	63	5	8	8	8	15	4	3	9	9	10	4	15	4	4	3	3	4
PF07787.13	2	9	88	8	6	12	2	26	0	7	2	25	3	4	4	25	6	8	5	2	32	2	6
PF13325.7	1	6	4	2	1	94	6	1	2	3	255	1	1	1	1	12	4	209	3	5	4	1	2
PF09731.10	2	31	107	105	12	25	4	2	112	4	23	23	30	117	101	65	22	42	8	17	16	4	17
PF12230.9	3	39	11	3	8	389	3	46	8	4	2	2	5	2	2	184	14	24	2	14	3	6	2
PF09782.10	1	9	2	15	1	10	2	2	3	1	2	1	1	1	1	3	1	1	2	2	4	1	1
PF05147.14	24	34	32	1	19	13	22	21	8	13	4	9	2	15	8	14	8	22	21	30	16	6	0
PF05179.15	1	6	2	2	2	3	1	6	2	6	1	7	2	11	9	9	26	5	2	1	9	1	1
PF14327.7	2	2	1	3	1	18	1	2	2	6	2	1	2	2	2	2	1	1	2	2	3	1	8
PF14304.7	20	0	12	6	8	21	12	24	2	14	4	10	22	14	14	12	6	10	12	10	38	13	26
PF03073.16	1	20	9	9	1	20	13	3	5	2	3	2	5	5	3	4	6	8	6	2	31	2	1
PF10238.10	10	80	9	4	7	33	49	45	52	2	10	9	10	10	10	12	4	8	10	42	7	4	12
PF02906.15	2	3	4	4	10	12	28	7	14	1	2	12	2	7	14	2	4	3	22	19	13	3	2
PF18658.2	10	0	42	152	481	134	135	16	3	313	104	298	5	28	28	50	1	204	340	50	45	9	0
PF15295.7	15	44	8	9	20	23	18	2	15	0	6	5	0	4	4	18	87	0	1	0	4	4	8
PF17404.3	1	8	1	2	2	18	4	2	6	2	2	2	1	0	0	10	6	1	0	3	34	2	4
PF17406.3	3	2	2	2	4	2	2	2	0	1	3	1	3	3	4	8	8	2	1	2	2	1	1
PF17407.3	7	3	1	2	1	2	15	2	0	4	2	1	2	0	0	0	4	1	1	1	2	1	2
PF17405.3	2	5	1	2	2	0	4	13	0	0	4	1	0	0	0	0	5	1	2	20	0	0	0
PF01966.23	52	86	38	26	6	64	71	55	17	2	12	15	32	9	15	33	173	21	28	35	38	26	4
PF15243.7	24	25	16	19	10	19	12	5	26	89	19	35	0	27	12	13	72	7	53	35	16	20	16
PF10189.10	2	30	28	20	6	38	4	18	17	1	9	13	11	4	10	42	11	2	8	12	4	1	1
PF14762.7	1	3	4	2	1	12	9	1	2	1	4	0	0	4	5	25	80	0	2	1	2	1	10
PF14761.7	1	2	1	1	3	2	2	2	1	1	0	0	0	2	5	26	2	0	5	2	6	1	8
PF10998.9	6	0	50	61	36	96	15	31	73	16	37	29	31	13	10	31	0	18	63	28	22	26	7
PF09111.11	2	40	15	1	3	24	2	1	18	38	74	2	2	5	5	3	4	6	4	27	1	2	2
PF09110.12	3	35	28	5	5	24	10	4	14	4	22	5	10	5	5	4	8	20	13	15	5	4	4
PF13892.7	9	2	11	3	2	5	8	4	21	4	3	8	4	2	2	3	6	30	3	49	3	0	8
PF10192.10	8	54	1	12	2	31	1	2	1	3	3	2	0	1	1	2	3	0	1	5	7	5	2
PF16858.6	3	10	8	20	6	63	2	4	1	3	18	5	16	4	4	2	2	10	3	7	1	3	1
PF06278.12	39	3	8	0	1	11	6	18	18	3	62	2	2	12	12	4	8	12	4	109	4	10	4
PF09402.11	4	41	1	18	1	8	5	4	2	1	32	1	1	4	2	2	16	10	17	1	2	2	1
PF09737.10	11	2	3	3	2	12	7	3	55	2	1	39	2	1	2	1	14	11	1	6	7	2	1
PF12640.8	2	18	3	2	29	3	3	11	5	1	1	2	1	1	1	2	10	3	2	0	8	1	8
PF08366.14	3	14	10	31	4	18	33	137	18	4	5	6	11	8	8	52	23	10	1	10	9	10	7
PF08596.11	11	4	8	19	22	0	14	9	0	4	6	9	0	78	72	6	69	50	33	94	12	20	11
PF10166.10	1	23	3	6	8	5	4	13	3	0	2	2	3	2	3	2	42	2	9	1	4	2	0
PF13236.7	1	9	1	1	2	6	1	3	9	1	3	1	1	1	1	1	2	2	1	12	6	2	4
PF12807.8	2	7	1	1	3	14	1	2	24	2	6	1	2	2	2	1	8	5	1	43	12	2	12
PF15044.7	1	5	3	0	1	23	1	1	8	1	2	1	1	14	2	2	14	1	0	12	6	6	4
PF08073.13	4	0	1	2	1	64	8	1	3	1	4	1	2	32	39	7	13	1	2	2	10	0	1
PF04615.14	93	35	18	4	6	24	9	4	4	1	9	8	14	2	2	4	3	3	81	7	2	2	4
PF17800.2	2	42	37	128	30	36	46	2	58	8	6	30	98	4	6	6	4	8	132	13	8	12	10
PF05362.14	14	8	9	11	2	17	4	3	12	3	3	2	2	6	6	7	5	11	4	16	1	1	2
PF13541.7	1	4	4	2	3	2	1	2	6	1	1	1	1	4	4	3	62	7	10	120	26	1	1
PF08298.12	2	0	0	29	0	36	0	34	0	0	0	0	0	4	4	28	37	0	0	0	0	2	0
PF16401.6	10	40	13	6	2	9	4	6	4	0	22	2	1	3	2	29	11	10	30	6	19	1	14
PF12409.9	3	26	20	13	7	22	27	11	22	31	1	6	88	24	24	42	44	6	3	23	16	10	10
PF07713.14	9	10	12	0	9	9	24	112	12	2	5	12	4	8	35	60	6	30	0	2	16	3	6
PF12745.8	52	9	15	7	0	24	26	11	22	3	26	0	0	14	22	9	15	12	13	34	112	1	6
PF02391.18	2	11	4	2	3	10	7	24	7	2	17	10	2	2	2	4	8	14	11	55	8	3	6
PF02517.17	10	8	2	21	8	6	9	7	4	38	2	8	12	10	6	6	1	14	12	42	3	6	6
PF01566.19	12	15	125	188	38	73	37	92	33	67	136	63	21	4	34	34	10	65	304	42	85	40	5
PF09230.11	2	1	2	0	1	28	6	2	0	0	2	3	1	19	18	1	1	0	2	6	0	0	0
PF00810.19	16	27	15	20	6	22	90	10	26	0	26	13	19	2	2	4	1	33	22	44	2	5	8
PF02594.17	1	0	2	0	3	0	2	1	0	0	5	1	0	0	0	0	1	6	0	1	12	14	0
PF12047.9	2	4	10	3	21	22	32	24	0	4	11	18	28	6	6	25	6	16	2	45	21	0	0
PF13328.7	2	6	1	14	1	12	4	4	2	0	1	3	4	1	2	2	8	1	9	20	1	2	1
PF08406.11	4	141	2	2	2	2	54	36	36	4	0	0	0	0	0	0	0	0	0	0	42	36	0
PF04080.14	9	18	5	3	22	7	18	13	2	6	3	3	3	2	1	4	2	1	4	16	12	1	6
PF12062.9	6	7	2	3	2	8	2	4	1	9	6	7	9	4	4	4	11	2	7	10	14	3	2
PF14378.7	4	15	9	6	6	14	0	3	0	26	15	4	4	56	80	22	0	20	15	35	50	10	12
PF17215.4	3	23	4	5	2	5	1	6	3	0	21	22	2	4	2	5	0	1	4	1	4	3	1
PF02585.18	30	9	7	1	2	7	24	19	15	2	12	3	2	1	1	1	9	1	34	12	3	1	1
PF05794.14	5	10	11	17	23	22	4	6	7	2	29	5	2	1	1	18	4	2	1	42	1	1	1
PF12597.9	2	29	3	2	4	2	2	8	0	0	0	1	2	0	0	0	25	1	1	6	2	2	0
PF00590.21	2	12	2	0	2	4	2	4	1	1	1	2	1	3	2	16	6	1	2	4	8	3	7
PF05131.15	4	4	2	3	4	4	4	2	2	16	2	1	2	2	2	2	66	1	3	2	2	1	20
PF03834.15	1	54	1	1	2	10	0	1	16	1	1	1	4	1	17	1	13	3	1	9	2	2	1
PF12490.9	30	2	18	19	6	42	31	8	2	8	6	10	25	18	25	20	6	9	25	11	34	24	25
PF04500.17	67	57	26	31	5	190	52	77	18	55	36	29	0	167	34	69	0	45	81	23	24	1	4
PF01294.19	1	2	16	4	27	16	2	5	22	3	8	13	2	7	11	1	10	14	4	18	3	13	10
PF02284.17	4	4	21	15	3	6	32	2	22	1	3	9	2	2	3	3	1	3	16	10	6	1	5
PF02525.18	1	0	2	3	4	5	1	1	1	0	3	2	6	2	2	1	0	3	1	7	7	0	0
PF03358.16	1	15	2	5	2	20	1	2	2	0	5	5	3	0	0	7	4	6	21	6	4	7	0
PF03321.14	2	268	12	2	0	0	15	2	0	0	0	0	4	0	0	0	4	0	0	2	5	6	0
PF05497.13	1	86	2	29	3	10	1	3	26	1	1	1	5	2	2	8	11	1	38	1	3	1	1
PF09749.10	3	15	10	1	5	4	2	4	5	1	1	1	1	1	1	31	25	21	13	8	1	2	1
PF06271.13	1	13	1	2	4	4	10	1	2	33	2	1	2	3	0	1	5	2	24	6	4	3	4
PF14932.7	35	49	57	0	12	42	16	4	34	0	0	18	24	3	42	16	255	39	0	14	68	22	0
PF09070.12	1	2	4	3	1	5	1	1	4	1	3	1	5	3	10	5	3	1	1	7	1	2	0
PF15489.7	90	39	2	1	2	0	10	10	0	2	21	2	0	96	22	6	0	4	0	14	4	1	0
PF00352.22	8	180	28	33	34	201	84	124	31	22	28	26	34	64	28	22	38	62	33	92	150	16	32
PF13251.7	4	30	3	4	15	19	9	14	9	4	4	8	3	12	12	15	2	12	48	4	20	0	10
PF10268.10	24	17	1	11	15	46	4	12	2	4	2	3	2	3	3	4	5	9	6	13	4	11	1
PF04699.15	5	11	27	4	2	22	2	9	26	3	10	4	8	2	4	4	4	6	2	18	3	4	4
PF16752.6	14	26	10	12	9	22	79	12	10	1	2	3	19	5	10	15	80	2	0	9	6	0	6
PF08347.12	12	0	14	0	4	0	14	0	3	74	14	9	0	0	0	13	54	8	0	0	0	4	0
PF10222.10	18	9	14	70	2	11	2	8	38	6	3	3	6	1	1	4	7	4	2	13	12	3	9
PF01764.26	20	45	207	139	104	111	29	109	8	27	184	26	42	29	30	81	29	14	125	72	117	27	22
PF09280.12	1	2	15	12	2	4	1	1	14	12	50	10	3	3	3	3	4	33	12	13	1	2	10
PF16921.6	4	2	14	1	2	16	1	3	5	2	1	1	6	5	5	5	1	2	2	3	2	10	1
PF09371.11	6	11	2	1	2	45	1	11	4	21	1	2	10	3	3	9	1	1	48	16	17	8	2
PF12836.8	14	7	8	5	6	33	15	28	20	3	6	11	8	4	4	19	10	4	31	15	13	14	2
PF17674.2	11	1	4	3	4	7	1	9	4	3	3	3	2	1	1	7	4	2	4	21	7	0	2
PF08079.13	7	29	10	2	3	15	3	3	19	2	5	2	15	3	3	2	8	8	3	18	2	4	1
PF00327.21	12	66	30	7	22	23	6	9	42	2	44	9	9	8	8	8	12	10	6	41	8	12	8
PF14701.7	3	4	1	1	3	10	1	6	4	13	1	1	2	2	2	5	11	1	0	1	5	1	2
PF14702.7	2	13	4	6	4	8	1	2	4	15	1	1	4	1	1	5	5	1	4	1	5	1	1
PF14699.7	2	4	3	3	19	6	3	10	7	7	0	5	6	1	1	13	8	2	0	2	5	1	2
PF03665.14	2	3	6	3	3	29	1	6	2	2	18	1	1	1	1	1	2	4	3	1	1	6	1
PF00958.23	4	2	8	47	6	22	7	12	12	2	3	33	2	2	2	8	22	4	2	18	2	4	20
PF06508.14	4	28	20	24	14	51	0	60	16	8	24	1	16	20	20	82	0	21	3	18	27	16	27
PF07819.14	39	36	158	188	36	351	34	80	16	9	20	35	228	70	125	10	32	20	27	143	90	40	17
PF12044.9	18	2	9	0	6	21	21	16	10	9	9	0	0	4	4	7	4	3	0	21	9	6	5
PF10206.10	2	1	2	2	5	7	1	4	3	2	2	2	26	2	4	1	3	2	20	6	5	1	1
PF04152.15	5	26	1	0	2	29	13	15	1	10	35	3	1	1	1	2	2	1	0	20	2	2	4
PF16727.6	18	36	1	5	17	9	14	1	3	0	1	1	0	5	5	3	1	2	3	3	10	1	3
PF02149.20	13	10	10	14	5	15	17	12	22	10	12	9	15	16	26	6	6	9	2	16	15	27	8
PF10156.10	2	0	2	0	0	5	2	2	1	1	40	2	34	2	2	2	4	8	1	4	6	13	106
PF11569.9	234	0	60	24	0	0	63	61	9	0	34	4	0	0	0	0	0	220	92	0	0	0	0
PF01205.20	2	4	1	2	1	6	10	2	68	1	1	6	1	2	2	4	10	1	2	5	1	3	1
PF02408.21	10	61	11	40	36	3	0	107	24	30	76	0	25	68	16	76	0	21	134	256	127	26	8
PF08785.12	3	3	1	2	1	4	62	3	9	16	2	1	2	8	2	7	1	2	0	8	2	1	0
PF17904.2	10	6	2	2	2	26	1	1	10	2	2	4	2	2	2	2	6	4	0	3	2	2	15
PF18336.2	14	60	2	4	2	11	3	2	18	2	2	4	2	2	2	2	12	4	0	18	3	2	15
PF12235.9	21	2	2	0	1	48	0	2	14	0	100	8	5	12	15	9	13	0	0	22	4	12	0
PF05670.14	10	82	10	9	4	64	41	22	12	6	34	4	5	39	25	10	6	10	6	11	12	21	18
PF12813.8	4	66	16	0	18	6	2	9	7	5	10	4	18	2	2	2	12	2	8	55	4	2	16
PF16953.6	3	20	14	4	7	11	1	1	2	22	2	3	33	5	11	6	2	33	9	12	14	1	4
PF04097.15	8	49	16	4	11	24	12	4	4	8	4	5	3	2	2	6	1	9	7	6	2	6	2
PF06741.14	10	12	1	3	2	49	6	8	3	4	2	1	2	6	2	2	5	6	0	5	7	4	2
PF08752.11	2	6	2	2	1	4	5	1	16	2	2	2	2	2	3	6	1	1	1	5	1	1	2
PF16381.6	2	1	2	1	2	5	4	1	8	4	1	2	1	1	1	10	1	1	1	1	1	1	1
PF01261.25	10	37	23	5	28	7	28	8	20	0	19	6	33	5	5	214	11	9	23	20	11	22	0
PF03847.14	8	73	2	14	6	81	7	9	10	10	16	14	8	7	7	10	19	26	7	9	4	7	13
PF12931.8	2	48	3	10	2	21	11	2	5	3	4	2	20	29	27	2	19	14	5	1	4	48	4
PF15052.7	5	0	6	3	1	2	5	13	2	1	0	0	0	5	4	6	3	0	3	7	12	1	4
PF09778.10	6	12	3	3	5	11	10	2	8	3	6	1	1	3	3	44	1	3	3	48	6	8	1
PF13529.7	18	0	8	5	8	0	0	8	23	11	7	5	3	0	0	0	5	9	34	0	10	0	3
PF16776.6	1	8	1	0	1	1	3	2	10	1	5	1	2	2	4	1	0	7	15	5	5	3	2
PF15800.6	16	0	2	0	3	0	1	2	4	0	3	3	1	15	15	18	8	3	12	6	32	3	0
PF01282.20	6	13	7	4	14	23	2	106	17	2	1	6	4	6	8	15	16	28	5	20	10	10	2
PF04037.14	4	24	3	11	6	22	4	6	57	3	10	3	8	12	6	14	2	3	3	10	4	12	5
PF03453.18	1	2	1	12	2	10	3	14	7	1	2	0	2	2	2	3	3	4	2	6	2	3	3
PF03454.16	2	4	72	5	1	5	5	24	5	4	1	0	2	1	1	7	6	3	2	6	2	12	34
PF02628.16	5	9	14	3	3	22	15	3	2	2	1	6	1	3	3	1	1	1	12	7	16	3	1
PF12457.9	18	5	0	0	2	0	1	2	4	3	0	2	2	8	9	30	3	2	2	14	4	1	2
PF02743.19	8	22	10	47	44	11	30	69	20	44	10	47	15	55	57	20	32	22	109	15	2	2	6
PF08399.12	2	12	2	5	4	4	4	4	7	11	3	7	2	24	24	70	6	2	6	12	22	0	1
PF16923.6	1	9	1	0	1	8	94	6	4	10	3	2	4	2	2	3	4	3	8	4	4	2	4
PF01713.22	2	37	6	4	15	0	4	7	0	0	10	26	0	0	0	0	36	2	2	2	3	1	0
PF18308.2	9	4	24	0	1	29	14	5	6	0	24	3	2	2	2	8	1	32	0	2	5	2	2
PF07324.12	16	3	5	1	0	11	6	0	8	10	10	1	2	2	2	3	7	2	14	15	15	0	1
PF09769.10	11	34	31	17	0	21	60	31	17	9	11	8	6	2	1	6	9	176	3	12	0	3	3
PF03801.14	20	7	22	19	15	13	4	48	1	2	31	92	15	28	14	8	72	59	8	30	2	12	6
PF08617.11	3	25	7	0	3	12	8	2	1	1	1	1	2	3	4	19	2	2	17	5	7	1	7
PF05292.12	4	2	17	5	1	9	1	9	5	4	3	2	1	2	2	3	1	3	3	11	2	1	3
PF17408.3	2	2	12	16	1	14	1	27	7	4	0	10	6	2	6	9	1	10	1	2	4	4	1
PF01470.18	1	31	11	1	3	5	38	0	6	4	2	13	3	8	5	28	14	4	3	22	2	4	1
PF06162.13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF12333.9	12	45	19	19	6	194	100	24	15	5	10	15	12	3	4	120	30	24	8	16	120	25	2
PF15311.7	44	0	26	6	2	18	9	0	12	0	51	11	10	16	16	4	0	39	3	5	4	2	6
PF08952.12	2	23	17	3	34	14	4	50	3	0	0	2	2	4	4	4	3	3	1	1	11	2	39
PF05833.12	6	6	3	0	1	9	5	10	10	3	6	3	3	10	9	2	1	2	8	1	9	2	5
PF11923.9	50	63	32	24	4	75	30	516	12	12	10	0	10	21	21	24	5	30	17	15	20	20	10
PF06699.12	20	9	2	5	2	23	5	6	24	3	4	2	1	1	1	16	3	5	18	5	2	3	24
