	Acartia-tonsa_adults_SR	Amphibalanus-amphitrite_larva_ou	Calanoides-carinatus_active-pop_BL	Calanus-hyperboreus_female_AF	Eucalanus-hyalinus_high-oxygen_CA	Eucyclops-serrulatus__SR	Eurytemora-affinis_adults_fr	Labidocera-madurae_femalesPooled_SR	Lernaea-cyprinacea_hote_SR	Lsalmonis_female_SR	Metridia-longa_female_AU	Nannocalanus-minor__BY	Neocalanus-flemingeri_pooledFemales_SR	Onana_female_in	Osimilis_female_in	Paracyclopina-nana_SRR1664735_Tr	Penaeus-aztecus_10Hepatopancreas_ou	Pleuromamma-robusta__BU	Pseudocalanus-sp_female_BE	Pseudodiaptomus-annandalei_1ind_SR	Tigriopus-japonicus_SRR1784985_Tr	Tigripus-kingsejongensis_SRR2034718_Tr	Tracheliastes-polycolpus_female_le
PF00226.32	359	601	582	374	416	960	476	570	325	248	488	370	269	186	297	574	206	375	564	763	343	251	183
PF01527.21	16	1	376	68	48	0	18	32	0	0	89	80	229	8	8	17	4	64	87	54	0	0	0
PF04218.14	108	2	143	33	0	0	4	93	20	13	4	0	17	0	0	0	143	96	34	9	0	55	29
PF02902.20	88	59	148	53	173	121	91	119	17	15	278	55	133	21	31	93	28	243	87	159	38	18	42
PF01585.24	118	234	157	80	102	268	79	94	150	81	177	172	106	81	94	209	147	151	186	124	269	104	67
PF16685.6	33	6	10	11	19	10	26	12	12	5	55	10	26	0	0	0	14	41	25	6	8	4	0
PF16682.6	5	4	4	1	16	5	19	8	0	0	56	4	1	6	8	126	7	1	2	2	0	0	0
PF12053.9	2	5	8	2	13	37	5	16	6	19	3	3	2	6	8	14	5	7	3	6	10	6	7
PF00595.25	248	1148	641	468	397	848	663	656	647	330	582	209	284	548	552	1213	449	352	511	895	1098	368	331
PF17820.2	316	1043	569	650	395	837	752	484	755	437	718	170	253	416	391	1723	662	307	411	1147	1117	346	508
PF13180.7	159	1337	627	339	317	688	460	377	547	342	195	80	334	335	336	1474	434	220	249	457	1297	451	211
PF10350.10	18	64	11	7	11	43	15	19	45	48	2	10	15	8	8	22	25	22	17	27	123	19	7
PF14531.7	547	604	887	886	689	1322	1262	1253	628	506	758	512	855	498	519	992	758	648	741	1205	823	500	470
PF13360.7	54	33	51	71	14	104	83	45	21	32	35	45	32	42	27	301	26	15	68	28	15	52	19
PF01011.22	42	0	21	70	37	84	141	33	12	20	49	18	0	43	59	35	4	110	12	37	48	36	4
PF04055.22	132	72	37	40	29	67	37	156	34	29	38	26	26	71	67	61	16	29	15	84	74	38	12
PF01938.21	12	21	0	0	12	25	2	1	12	6	1	0	0	6	8	9	9	4	10	14	2	5	3
PF00919.21	19	8	3	3	4	19	3	3	25	2	2	1	1	3	4	5	5	5	8	79	2	6	1
PF04791.17	11	92	14	62	34	163	55	18	41	16	30	18	45	25	29	201	34	23	33	111	208	13	3
PF13912.7	37363	15373	10478	9994	8179	11823	9337	13435	1557	964	27916	11526	7681	12647	13122	9366	7841	25495	29243	34258	6080	2988	1613
PF12171.9	39711	14047	14012	10316	10729	13106	11299	16213	3946	2597	31944	16904	10713	16145	17124	15471	9768	29329	38675	54877	18001	3915	6092
PF00621.21	83	336	397	537	300	281	367	321	403	248	224	100	160	218	177	630	314	62	325	255	1133	343	186
PF00169.30	289	1184	1023	915	684	1107	1676	1020	995	696	568	359	614	848	794	1894	913	595	825	1910	2239	731	411
PF01363.22	184	527	356	237	273	859	466	347	280	199	347	136	152	303	283	286	346	319	214	540	344	232	346
PF12739.8	19	24	3	108	10	7	20	15	2	25	4	9	8	2	2	24	11	30	4	18	2	2	5
PF00102.28	154	447	272	525	307	540	251	379	388	215	435	151	271	208	222	366	268	309	571	565	587	284	172
PF01284.24	57	171	90	88	59	72	27	28	152	19	52	83	39	59	48	91	36	117	64	158	122	48	45
PF02179.17	20	288	24	36	33	134	18	64	27	5	69	13	21	5	5	43	5	21	6	47	12	2	12
PF00240.24	344	446	820	1063	485	565	289	296	430	147	1186	246	640	219	305	163	278	1140	546	499	229	188	136
PF10267.10	45	139	132	34	78	205	64	72	163	152	154	48	62	17	17	13	135	96	43	15	15	76	11
PF07202.14	20	158	265	68	30	50	54	492	75	189	50	21	150	36	90	348	8	576	36	120	36	84	52
PF18868.2	2057	277	1400	1903	1758	3928	1493	599	285	492	1881	2035	1216	3027	3565	2366	142	1785	2871	1997	149	273	209
PF12474.9	18	126	11	82	92	64	27	30	111	6	28	6	7	10	18	53	36	24	50	96	324	30	8
PF00009.28	304	954	586	556	394	1210	804	584	1028	246	521	495	447	694	473	553	257	624	237	862	278	288	389
PF03143.18	54	52	96	68	91	74	37	24	107	12	39	33	29	20	17	24	48	71	33	108	22	31	18
PF03144.26	211	285	130	143	183	237	176	194	372	81	166	136	161	167	127	240	189	269	306	458	146	156	116
PF00498.27	145	221	261	332	120	468	199	219	136	114	197	199	260	180	116	505	91	288	233	302	254	109	237
PF16770.6	50	13	44	6	41	44	72	49	32	45	88	11	18	38	14	58	26	89	81	79	11	20	25
PF16697.6	10	55	54	35	34	118	137	60	131	20	125	64	52	64	75	104	154	28	17	43	38	50	47
PF16589.6	195	163	150	100	96	191	242	282	86	82	193	59	47	96	143	107	291	434	155	193	103	77	232
PF02985.23	1272	2095	1191	1352	901	3402	1775	3077	2784	1317	1967	926	1343	710	721	3043	1460	1837	1198	2127	2490	789	1050
PF13646.7	2286	1817	1516	1098	1154	2259	1486	1138	2011	970	1310	793	1325	1443	1355	2675	1300	1162	1284	1212	1702	1291	799
PF13513.7	556	1101	555	717	421	1311	908	1469	1442	307	943	310	576	513	539	1848	1233	623	555	1163	1020	347	350
PF12755.8	244	910	240	235	232	812	340	1256	364	173	591	208	242	205	256	547	294	209	132	326	287	90	162
PF12348.9	541	448	106	119	113	193	140	478	329	195	116	58	231	96	91	244	75	86	49	415	550	87	259
PF12717.8	843	820	292	615	466	959	884	1169	824	728	1138	402	346	424	275	1223	1290	520	693	657	572	653	1344
PF01602.21	273	595	151	154	221	427	448	331	704	247	277	264	590	143	248	358	211	438	178	366	541	243	117
PF06862.13	4	37	5	4	11	18	23	6	21	2	62	22	9	1	1	40	3	11	9	29	55	21	4
PF00270.30	586	820	480	554	584	1706	601	590	690	534	912	698	1193	354	372	660	515	628	433	677	569	162	308
PF00682.20	7	19	11	4	3	12	2	14	22	11	4	2	11	5	5	8	8	9	2	7	23	9	2
PF00179.27	243	511	457	453	276	861	237	231	367	284	455	230	259	350	253	233	246	404	246	501	248	165	135
PF05773.23	105	46	81	24	41	178	37	262	63	51	15	38	55	25	26	89	62	57	17	77	55	59	45
PF00888.23	27	72	47	24	11	213	27	35	144	11	32	30	280	24	24	68	29	25	22	92	27	14	26
PF08672.12	14	9	20	8	104	10	18	24	15	2	3	1	52	6	9	2	0	26	11	10	18	12	87
PF00160.22	48	266	114	161	78	192	101	77	181	63	200	87	103	48	110	72	85	98	289	1166	103	69	32
PF02724.15	20	22	3	4	6	25	19	45	2	3	2	4	3	10	2	29	12	12	6	27	2	9	3
PF00271.32	729	1266	946	627	915	1615	764	944	1124	575	1049	640	875	615	522	1240	602	1045	775	943	731	521	796
PF00570.24	14	9	21	19	27	22	19	5	5	3	6	3	27	1	2	3	8	13	1	33	6	3	3
PF14493.7	29	2	4	2	1	0	10	1	0	1	6	2	9	0	0	0	0	36	12	27	10	4	1
PF09382.11	10	5	6	22	8	12	12	2	1	5	9	6	5	1	1	15	2	16	1	42	11	6	5
PF16124.6	29	82	27	41	42	36	129	96	12	6	42	26	28	3	9	21	3	20	32	101	55	12	6
PF00316.21	3	4	23	13	13	33	5	4	20	4	6	1	9	2	2	7	1	2	4	7	4	4	4
PF18913.1	9	9	6	7	8	29	7	6	30	9	2	2	16	5	7	15	6	15	20	12	8	7	7
PF00018.29	178	612	573	829	263	577	576	503	575	421	475	191	232	330	372	790	604	227	470	738	660	461	295
PF14604.7	184	691	391	472	288	636	596	543	525	283	324	187	172	306	302	663	439	212	394	668	1749	572	217
PF07653.18	261	888	760	962	391	1209	714	703	863	374	552	258	334	420	460	1571	649	601	599	1087	948	300	333
PF16187.6	9	16	15	8	5	26	30	17	28	4	3	11	5	8	8	19	8	11	10	13	12	4	5
PF00675.21	44	48	48	58	77	60	159	38	41	50	171	25	37	43	31	251	22	51	111	48	123	18	36
PF05193.22	87	68	130	67	70	144	124	230	88	54	89	130	96	64	49	124	28	95	199	158	252	75	52
PF00249.32	81	178	347	233	395	481	174	120	245	82	281	130	279	86	70	443	119	198	201	257	81	55	57
PF13921.7	206	404	441	133	90	474	321	337	206	131	212	141	377	170	156	114	205	206	102	186	104	82	57
PF00474.18	33	167	232	147	100	115	155	108	54	48	132	107	105	73	76	245	91	83	89	77	302	84	38
PF00097.26	336	633	451	677	520	793	703	557	538	216	566	289	427	471	395	775	1081	782	566	717	606	290	157
PF14634.7	402	627	721	772	285	686	371	371	433	324	621	579	630	613	570	705	756	596	374	412	367	254	861
PF03568.18	12	11	5	15	32	31	5	18	3	6	4	3	4	5	5	2	3	5	12	35	14	8	2
PF05346.12	24	7	5	0	7	11	10	14	5	11	16	3	4	28	28	28	2	4	7	9	4	4	4
PF01722.19	8048	573	15	53	19	192	627	1639	8	0	3399	402	5	1757	1760	237	495	2578	237	10093	7	2	42
PF02460.19	92	154	306	141	93	116	98	90	122	75	129	145	81	59	64	212	132	109	111	101	179	63	28
PF12349.9	107	214	448	172	150	88	293	297	198	57	195	163	70	136	158	600	96	100	331	231	296	95	96
PF00856.29	192	262	1798	1723	681	830	989	1273	230	431	1266	291	655	392	441	1341	251	690	1007	1517	768	325	170
PF01171.21	20	29	34	4	4	21	4	4	3	8	5	8	8	3	3	3	16	3	13	19	4	4	9
PF16503.6	30	44	14	6	9	67	63	30	9	3	45	21	50	51	15	18	18	12	48	104	20	92	9
PF01380.23	10	31	33	7	6	50	4	9	34	4	26	11	16	2	2	14	4	4	12	26	15	33	10
PF13522.7	6	12	9	5	6	10	6	12	23	4	16	5	3	7	9	23	3	7	5	7	11	5	6
PF13537.7	14	37	23	5	37	112	24	18	61	16	9	21	7	7	9	47	9	5	16	15	54	7	10
PF13230.7	11	0	13	49	13	0	0	7	3	0	13	17	18	4	11	34	0	6	6	3	0	12	0
PF17838.2	8	77	16	39	14	45	35	14	41	35	40	8	7	6	5	126	20	50	11	27	61	20	16
PF00613.21	7	21	13	17	15	44	14	30	30	14	16	9	7	10	11	25	44	40	38	67	143	9	17
PF00454.28	50	136	101	52	39	185	61	103	175	128	103	44	92	33	35	113	80	32	69	101	113	82	63
PF02192.17	3	10	2	3	1	13	2	4	2	1	3	11	1	6	6	75	21	8	9	40	18	1	13
